Year,Island,Age,Length_cm,Weight_kg
1988,Grand,7,69,5.9
1988,Grand,4,44,1.25
1988,Grand,8,59,3.63
1988,Grand,5,58,3.52
1988,Grand,9,64,4.2
1988,Grand,6,43,1.14
1988,Grand,11,67,7.26
1988,Grand,8,66,5.39
1988,Grand,8,66,4.77
1988,Grand,8,68.5,6.13
1988,Grand,1.5,23,NA
1988,Grand,1.5,NA,NA
1988,Grand,1.5,NA,NA
1988,Grand,1.5,29,NA
1988,Grand,1.5,28,NA
1988,Grand,1.5,27,NA
1988,Grand,0.5,18,NA
1988,Grand,1.5,24,NA
1988,Grand,NA,64,NA
1988,Grand,NA,69,NA
1988,Grand,NA,57,NA
1988,Grand,NA,56,NA
1988,Grand,NA,61,NA
1988,Grand,NA,60,NA
1988,Grand,NA,68,NA
1988,Grand,NA,58,NA
1988,Grand,NA,60,NA
1988,Grand,NA,65,NA
1988,Grand,NA,59,3.628736
1988,Grand,NA,65,NA
1988,Grand,NA,65,5.329706
1988,Grand,NA,63,4.876114
1988,Grand,NA,69,5.896696
1988,Grand,NA,57,3.515338
1988,Grand,NA,60,3.96893
1988,Grand,NA,61,4.082328
1988,Grand,NA,59,NA
1988,Grand,NA,55,2.381358
1988,Grand,NA,57,3.288542
1988,Grand,NA,71,7.030676
1988,Grand,NA,67,6.690482
1988,Grand,NA,67,6.123492
1988,Grand,NA,65,4.989512
1988,Grand,NA,65,5.556502
1988,Grand,NA,62,4.649318
1988,Grand,NA,71,7.030676
1988,Grand,NA,63,4.53592
1988,Grand,NA,75,NA
1988,Grand,NA,65,5.443104
1988,Grand,NA,61,4.422522
1988,Grand,NA,59,3.855532
1988,Grand,NA,70,7.484268
1988,Grand,NA,68,5.896696
1988,Grand,NA,61,4.309124
1988,Grand,NA,59,4.195726
1988,Grand,NA,60,4.082328
1988,Grand,NA,63,4.649318
1988,Grand,NA,62,4.309124
1988,Grand,NA,60,3.96893
1988,Grand,NA,62,4.53592
1988,Grand,NA,68,6.917278
1988,Grand,NA,67,5.443104
1988,Grand,NA,74,7.711064
1988,Grand,NA,67,6.577084
1988,Grand,NA,67,5.6699
1988,Grand,NA,58,3.40194
1988,Grand,NA,53,2.948348
1988,Grand,NA,63,3.855532
1988,Grand,NA,56,2.721552
1988,Grand,NA,64,5.443104
1988,Grand,NA,70,7.030676
1988,Grand,NA,61,4.309124
1988,Grand,NA,68,5.6699
1988,Grand,NA,65,4.989512
1988,Grand,NA,61,3.855532
1988,Grand,NA,65,4.989512
1988,Grand,NA,58,2.721552
1988,Grand,NA,60,4.195726
1988,Grand,NA,67,5.443104
1988,Grand,NA,69,6.23689
1988,Grand,NA,76,NA
1988,Grand,NA,65,5.556502
1988,Grand,NA,68,5.896696
1988,Grand,NA,68,6.917278
1988,Grand,NA,71,8.391452
1988,Grand,NA,67,5.216308
1988,Grand,NA,67,5.896696
1988,Grand,NA,62,3.96893
1988,Grand,NA,65,5.556502
1988,Grand,NA,76,NA
1988,Grand,NA,58,3.628736
1988,Grand,NA,61,3.96893
1988,Grand,NA,65,5.216308
1988,Grand,NA,63,NA
1988,Grand,NA,67,NA
1988,Grand,NA,71,NA
1988,Grand,NA,65,NA
1988,Grand,NA,66,6.010094
1988,Grand,NA,72,7.144074
1988,Grand,NA,59,3.628736
1988,Grand,NA,71,7.030676
1988,Grand,NA,40,1.020582
1988,Grand,NA,72,8.278054
1988,Grand,NA,61,NA
1988,Grand,NA,70,NA
1988,Grand,NA,64,NA
1988,Grand,NA,61,NA
1988,Grand,NA,69,NA
1988,Grand,NA,59,NA
1988,Grand,NA,65,NA
1988,Grand,NA,69,6.80388
1988,Grand,NA,74,8.278054
1988,Grand,NA,65,5.216308
1988,Grand,NA,65,5.6699
1988,Grand,NA,73.5,8.50485
1988,Grand,NA,61,3.855532
1988,Grand,NA,62,4.649318
1988,Grand,NA,64,4.876114
1988,Grand,NA,60.5,4.195726
1989,Grand,6,55.9,NA
1989,Grand,6,55,NA
1989,Grand,6,58,NA
1989,Grand,6,53,2.26796
1989,Grand,6,52,2.041164
1989,Grand,6,55,2.494756
1989,Grand,6,51.5,NA
1989,Grand,6,49.5,1.814368
1989,Grand,7,57.5,NA
1989,Grand,7,63.5,NA
1989,Grand,7,47.5,NA
1989,Grand,7,55.9,NA
1989,Grand,7,55.9,NA
1989,Grand,7,53,2.26796
1989,Grand,7,63,3.96893
1989,Grand,7,55,NA
1989,Grand,8,63,4.53592
1989,Grand,8,68,5.6699
1989,Grand,8,59,3.628736
1989,Grand,8,53,2.494756
1989,Grand,8,61.5,4.53592
1989,Grand,8,61.5,NA
1989,Grand,8,62,NA
1989,Grand,9,72.6,NA
1989,Grand,9,63.3,NA
1989,Grand,9,67,NA
1989,Grand,9,67,NA
1989,Grand,9,68.9,NA
1989,Grand,9,67,NA
1989,Grand,9,67,NA
1989,Grand,10,65.2,NA
1989,Grand,10,70.8,NA
1989,Grand,10,68.9,NA
1989,Grand,10,67,NA
1989,Grand,10,60,NA
1989,Grand,10,56,NA
1989,Grand,10,65.5,NA
1989,Grand,11,63.3,NA
1989,Grand,11,74.5,NA
1989,Grand,11,68.9,NA
1989,Grand,11,65.2,NA
1989,Grand,11,61,NA
1989,Grand,12,72.6,NA
1989,Grand,12,66,5.443104
1989,Grand,12,74.5,NA
1989,Grand,13,74.5,NA
1989,Grand,13,72.6,NA
1989,Grand,13,72.6,NA
1989,Grand,13,72.6,NA
1989,Grand,14,74.5,NA
1989,Grand,14,78.2,NA
1989,Grand,15,70.8,NA
1989,Grand,16,68.9,NA
1989,Grand,17,81,11.3398
1989,Grand,18,80.1,NA
1989,Grand,20,84,NA
